pipeline,operator,baseline_arm,candidate_arm,input_rows,input_bytes,baseline_mean_s,candidate_mean_s,speedup,time_reduction_percent,baseline_cv,candidate_cv,output_parity,runtime_hit_verified,attributable_improvement,mechanism_ids,baseline_seconds,candidate_seconds,root_configuration_note,normal_root_claim_eligible,corrected_report_ref
ad,ad_sensor_align_mapper,R,S,5000000,616007000,88.76556038000854,52.84336310002254,1.6797863567462963,40.46861995373181,0.004807150245606194,0.00630575571504886,True,True,True,"[""invariant_cache"", ""value_cache""]","[89.06728948000818, 88.46383128000889]","[52.60774286009837, 53.07898333994672]",omitted_root_default_fallback_context_only,False,/opt/Codex/python-udf-jit/docs/reports/2026-09-07-blue53-ad-explicit-root-correction.md
ad,ad_sensor_align_mapper,R,B,5000000,616007000,88.83883274998516,2.6242787000373937,33.85266692471317,97.04602298476526,0.0013979767511919407,0.020602396798971283,True,True,True,"[""invariant_cache"", ""value_cache"", ""arrow_batch"", ""arrow_dictionary""]","[88.7510138900252, 88.92665160994511]","[2.5860479599796236, 2.662509440095164]",omitted_root_default_fallback_context_only,False,/opt/Codex/python-udf-jit/docs/reports/2026-09-07-blue53-ad-explicit-root-correction.md
fineweb,clean_html_mapper,R,N,200000,953488502,3.725628990039695,1.46738170995377,2.538963764348045,60.61385301980551,0.004684143631083614,0.0227490758429818,True,True,True,"[""native_regex""]","[3.7379689801018685, 3.7132889999775216]","[1.4909860499901697, 1.4437773699173704]",not_affected_by_ad_root_helper,True,
fineweb,punctuation_normalization_mapper,R,T,200000,948359106,20.27300612500403,10.184852809994482,1.9905055579310837,49.761506768190465,0.0027202870612863033,0.0021789812067076852,True,True,True,"[""typed_translation""]","[20.234010320040397, 20.312001929967664]","[10.169160270015709, 10.200545349973254]",not_affected_by_ad_root_helper,True,
fineweb,clean_links_mapper,R,N,200000,951016108,23.22317686502356,1.487950555048883,15.60749232306353,93.59282081130817,0.0005510838854157595,0.021272004257281516,True,True,True,"[""native_regex""]","[23.214127370039932, 23.23222636000719]","[1.5103316800668836, 1.4655694300308824]",not_affected_by_ad_root_helper,True,
fineweb,whitespace_normalization_mapper,R,T,200000,944303914,32.0777000199887,15.626238739991095,2.05281005581302,51.286286952450276,0.0022279155132820896,0.0014343658691126832,True,True,True,"[""typed_whitespace""]","[32.12823439994827, 32.027165640029125]","[15.610389829962514, 15.642087650019675]",not_affected_by_ad_root_helper,True,
fineweb,clean_copyright_mapper,R,N,200000,948859314,28.410845650010742,1.8338165350141935,15.492741562498152,93.54536447945011,0.0034974561021377643,0.01862264089991234,True,True,True,"[""native_regex""]","[28.34058349998668, 28.481107800034806]","[1.8096684800693765, 1.8579645899590105]",not_affected_by_ad_root_helper,True,
ad,ad_sensor_align_mapper,B0,B,5000000,616007000,10.899632075044792,2.6390771900187247,4.130092183839253,75.78746537636796,0.009603318839821772,0.015180240975868292,True,True,True,"[""arrow_dictionary""]","[10.973646810045466, 10.825617340044118]","[2.610749199986458, 2.6674051800509915]",omitted_root_default_fallback_context_only,False,/opt/Codex/python-udf-jit/docs/reports/2026-09-07-blue53-ad-explicit-root-correction.md
fineweb,alphanumeric_filter,R,T,199834,917919429,44.44266923505347,5.835935229959432,7.615346552665975,86.86862123628607,0.007894211553043267,0.0017315366478715785,True,True,True,"[""typed_alnum""]","[44.69075046002399, 44.19458801008295]","[5.828789819963276, 5.843080639955588]",not_affected_by_ad_root_helper,True,
fineweb,punctuation_normalization_mapper,R,N,200000,948359106,20.486747914983425,3.3815689249895513,6.05835586067397,83.49387155529762,0.022048270427976642,0.036555922674923476,True,True,True,"[""native_translation""]","[20.16734964994248, 20.80614618002437]","[3.294158949982375, 3.4689788999967277]",not_affected_by_ad_root_helper,True,
fineweb,whitespace_normalization_mapper,R,N,200000,944303914,31.891219065058976,9.069252399960533,3.516411018089844,71.5619136996331,0.0024190683855944014,0.007014416324163432,True,True,True,"[""native_whitespace""]","[31.836667870054953, 31.945770260063]","[9.024269439978525, 9.11423535994254]",not_affected_by_ad_root_helper,True,
fineweb,text_length_filter,R,N,200000,944217730,2.0215701200650074,1.2296196449897252,1.6440613390508247,39.1750188239731,0.0035320393872344605,0.005529175082368124,True,True,True,"[""native_length""]","[2.026619050069712, 2.0165211900603026]","[1.2344271100591868, 1.2248121799202636]",not_affected_by_ad_root_helper,True,
fineweb,language_id_score_filter,R,N,199834,917919429,69.34266073000617,29.65423510002438,2.338372933785406,57.23522174107705,0.013085815380116685,0.03351519933898105,True,True,True,"[""native_language""]","[68.70102832000703, 69.98429314000532]","[28.95146458002273, 30.35700562002603]",not_affected_by_ad_root_helper,True,
ad,ad_index_mapper,R,ALL,5000000,1834981000,76.65540578996297,81.41384292504517,0.9415524809526172,-6.207568906647487,0.0017808270329206313,0.0001637362615981325,True,False,False,[],"[76.55887862993404, 76.7519329499919]","[81.42326894006692, 81.40441691002343]",not_affected_by_ad_root_helper,True,
