operator,R_typed_s,T_s,T_ratio,R_native_s,N_s,N_ratio,R_combined_s,ALL_s,ALL_ratio
clean_html_mapper,2.921,3.122,0.935,2.936,0.992,2.96,2.952,1.003,2.942
clean_links_mapper,22.441,22.615,0.992,22.405,0.78,28.742,22.499,0.744,30.238
clean_email_mapper,38.145,38.433,0.992,38.055,38.074,1.0,38.049,38.343,0.992
clean_copyright_mapper,28.835,28.988,0.995,28.226,3.136,9.001,28.128,3.31,8.497
fix_unicode_mapper,13.482,17.658,0.763,16.031,18.154,0.883,17.789,14.651,1.214
punctuation_normalization_mapper,23.697,11.793,2.009,21.003,3.81,5.512,21.852,6.659,3.281
whitespace_normalization_mapper,57.916,63.002,0.919,56.486,7.324,7.713,58.453,8.576,6.816
text_length_filter,5.788,5.518,1.049,8.342,7.429,1.123,7.024,5.646,1.244
alphanumeric_filter,44.884,10.951,4.099,43.996,48.881,0.9,45.42,11.153,4.073
language_id_score_filter,49.005,49.209,0.996,48.065,51.402,0.935,48.505,48.785,0.994
perplexity_filter,94.13,97.889,0.962,94.915,88.252,1.075,90.084,85.747,1.051
document_deduplicator,6.663,6.366,1.047,6.465,7.143,0.905,8.6,6.589,1.305
text_chunk_mapper,15.072,15.606,0.966,14.952,17.357,0.861,14.797,16.661,0.888
